id,name,description,price,category_id,brand,image_url,images,variants,tags,details,store_type,featured,created_at,brand_id,sku,active,new,_actiontype,store_reference,material,weight,dimensions,rating,reviews_count
79,The Re-Run Metallic - Femme,"Nous avons habillé notre modèle classique d'une tige métallique mate vintage, créant un look et une sensation à la fois sobres et uniques.",200.00,20,MERCER,"",{},"[{""size"": ""EU 37"", ""color"": ""Metallic Pink"", ""stock"": 2}, {""size"": ""EU 38"", ""color"": ""Metallic Pink"", ""stock"": 3}, {""size"": ""EU 39"", ""color"": ""Metallic Pink"", ""stock"": 3}, {""size"": ""EU 40"", ""color"": ""Metallic Pink"", ""stock"": 2}, {""size"": ""EU 41"", ""color"": ""Metallic Pink"", ""stock"": 1}, {""size"": ""EU 36"", ""color"": ""Metallic Pink"", ""stock"": 1}]","{chaussures,femme,mercer}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,f,2025-04-18 11:12:48.567482+00,32,WE251005/350,t,f,,WE251005/350,,,,,0
45,"Asics Gel Kayano 14 ""grey""","La GEL-KAYANO 14 fait son grand retour avec une déclinaison novatrice du rétro. Son look de la fin des années 2000 est directement inspiré de notre emblématique série GEL-KAYANO. Les matériaux et les composants modernes de la chaussure augmentent ses performances techniques. C'est le premier modèle à avoir été conçu par quelqu'un d'autre que Toshikazu Kayano. Cette nouvelle version perpétue les valeurs emblématiques de la marque, tout en offrant de meilleures performances. L'amorti de cette chaussure est composé de la même technologie GEL que celle de la semelle intermédiaire d'origine et sa tige conserve sa construction en cuir et mesh superposés de 2008 pour offrir un chaussant parfait. De plus, le procédé de teinture en solution utilisé pour la fabrication de la semelle intérieure réduit la consommation d'eau d'environ 33 % et les émissions de carbone d'environ 45 %",0.03,20,ASICS,,{},"[{""size"": ""EU 42"", ""color"": ""Gris"", ""stock"": 1}, {""size"": ""EU 42.5"", ""color"": ""Gris"", ""stock"": 1}, {""size"": ""EU 43.5"", ""color"": ""Gris"", ""stock"": 4}, {""size"": ""EU 44"", ""color"": ""Gris"", ""stock"": 1}]","{asics,""gel-kayano 14"",premium,collectionneurs,cushion,stability,héritage,running,technique,streetwear,archive}","{""ASICS GEL-KAYANO 14 - Réédition du modèle emblématique de 2008"",""Double technologie d'amorti GEL™ à l'avant-pied et au talon"",""Système Space Trusstic™ pour la stabilité et la transition fluide"",""Tige complexe multi-matériaux avec construction asymétrique"",""Technology IGS® (Impact Guidance System) pour une foulée naturelle"",""Semelle intermédiaire SpEVA™ et Solyte™ pour rebond et légèreté"",""Semelle extérieure à plaques AHAR+ pour durabilité exceptionnelle"",""Modèle de stabilité running premium adapté au lifestyle"",""Poids: 337g (taille 42)""}",sneakers,f,2025-04-10 13:06:30.862058+00,37,AS001,t,f,,KAY14GREY,,,,,0
37,"Asics Gel Kayano 14 ""Birch""","La GEL-KAYANO 14 fait son grand retour avec une déclinaison novatrice du rétro. Son look de la fin des années 2000 est directement inspiré de notre emblématique série GEL-KAYANO. Les matériaux et les composants modernes de la chaussure augmentent ses performances techniques. C'est le premier modèle à avoir été conçu par quelqu'un d'autre que Toshikazu Kayano. Cette nouvelle version perpétue les valeurs emblématiques de la marque, tout en offrant de meilleures performances. L'amorti de cette chaussure est composé de la même technologie GEL que celle de la semelle intermédiaire d'origine et sa tige conserve sa construction en cuir et mesh superposés de 2008 pour offrir un chaussant parfait. De plus, le procédé de teinture en solution utilisé pour la fabrication de la semelle intérieure réduit la consommation d'eau d'environ 33 % et les émissions de carbone d'environ 45 %",0.00,20,ASICS,  ,{},"[{""size"": ""EU 40"", ""color"": ""BIRCH"", ""stock"": 1}, {""size"": ""EU 40.5"", ""color"": ""BIRCH"", ""stock"": 1}, {""size"": ""EU 41.5"", ""color"": ""BIRCH"", ""stock"": 2}, {""size"": ""EU 42"", ""color"": ""BIRCH"", ""stock"": 2}, {""size"": ""EU 44.5"", ""color"": ""BIRCH"", ""stock"": 1}]","{asics,""gel-kayano 14"",premium,collectionneurs,cushion,stability,héritage,running,technique,streetwear,archive}","{""ASICS GEL-KAYANO 14 - Réédition du modèle emblématique de 2008"",""Double technologie d'amorti GEL™ à l'avant-pied et au talon"",""Système Space Trusstic™ pour la stabilité et la transition fluide"",""Tige complexe multi-matériaux avec construction asymétrique"",""Technology IGS® (Impact Guidance System) pour une foulée naturelle"",""Semelle intermédiaire SpEVA™ et Solyte™ pour rebond et légèreté"",""Semelle extérieure à plaques AHAR+ pour durabilité exceptionnelle"",""Modèle de stabilité running premium adapté au lifestyle"",""Poids: 337g (taille 42)""}",sneakers,f,,37,AS001,t,f,  , kay14_birch ,  ,,  ,,0
78,The Re-Run Vintage Suede - Femme,"Ce n'est pas pour rien qu'on l'appelle vintage ; la semelle jaunie crée un look et une ambiance qui s'accordent parfaitement avec notre marque. On dirait que vous les avez trouvées des années plus tard dans le placard de votre père.

",200.00,20,MERCER,"",{},"[{""size"": ""EU 37"", ""color"": ""Pink"", ""stock"": 2}, {""size"": ""EU 39"", ""color"": ""Pink"", ""stock"": 3}, {""size"": ""EU 40"", ""color"": ""Pink"", ""stock"": 2}, {""size"": ""EU 41"", ""color"": ""Pink"", ""stock"": 1}, {""size"": ""EU 36"", ""color"": ""Pink"", ""stock"": 1}, {""size"": ""EU 38"", ""color"": ""Pink"", ""stock"": 3}]","{chaussures,femme,mercer}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,f,2025-04-18 11:12:45.662863+00,32,WE251002/350,t,f,,WE251002/350,,,,,0
66,Mercer P22,Ces baskets tendance associent style et confort. Idéales pour un look urbain sophistiqué.,195.00,20,MERCER,,{},"[{""size"": ""40"", ""color"": ""Sand"", ""stock"": 1}, {""size"": ""41"", ""color"": ""Sand"", ""stock"": 2}, {""size"": ""42"", ""color"": ""Sand"", ""stock"": 3}, {""size"": ""43"", ""color"": ""Sand"", ""stock"": 4}, {""size"": ""44"", ""color"": ""Sand"", ""stock"": 3}, {""size"": ""45"", ""color"": ""Sand"", ""stock"": 2}, {""size"": ""46"", ""color"": ""Sand"", ""stock"": 1}]","{chaussures,sneakers,mercer,berlin}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : cuir recyclé GRS, PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,f,2025-04-14 00:00:00+00,32,MERCER-BER-2,t,t,,ME243018/103,,,,,0
41,"Asics Gel-Nimbus 9 ""Indigo Fog""","La GEL-NIMBUS 9 a été initialement conçue pour les coureurs longue distance neutres et supinateurs.

Commercialisée en 2007, cette chaussure revient avec des matériaux originaux et des détails décoratifs. Son look industriel des années 2000 contraste avec des nuances et des couleurs vives.

Afin d'améliorer les performances de nos chaussures, nous avons choisi de segmenter la semelle intermédiaire. Grâce à des capsules de technologie GEL dans le talon et à l'avant-pied, la semelle offre un excellent amorti et stabilise la foulée.",0.00,20,ASICS,  ,{},"[{""size"": ""EU 40.5"", ""color"": ""INDIGO FOG"", ""stock"": 1}, {""size"": ""EU 41.5"", ""color"": ""INDIGO FOG"", ""stock"": 2}, {""size"": ""EU 42"", ""color"": ""INDIGO FOG"", ""stock"": 2}, {""size"": ""EU 42.5"", ""color"": ""INDIGO FOG"", ""stock"": 2}, {""size"": ""EU 43.5"", ""color"": ""INDIGO FOG"", ""stock"": 4}, {""size"": ""EU 44"", ""color"": ""INDIGO FOG"", ""stock"": 2}, {""size"": ""EU 44.5"", ""color"": ""INDIGO FOG"", ""stock"": 1}, {""size"": ""EU 45"", ""color"": ""INDIGO FOG"", ""stock"": 1}]","{asics,japanese,tiger,sportswear,heritage,running,comfort,quality,gel,sneakers,performance}","{""Chaussure ASICS avec technologie GEL™ signature de la marque"",""Conçue avec l'expertise running japonaise d'ASICS"",""Équilibre parfait entre performance technique et esthétique lifestyle"",""Amorti adapté pour un confort quotidien optimal"",""Construction durable fidèle à la réputation de qualité ASICS"",""Semelle en caoutchouc pour adhérence sur toutes les surfaces"",""Design intemporel inspiré de l'héritage sportif de la marque""}",sneakers,f,,37,AS001,t,f,  , nimbus_indigo ,  ,,  ,,0
63,Mercer The Re-Run Vibram,"Le meilleur des deux mondes : la Re-Run rencontre la P22. En collaboration avec Vibram, nous avons développé une semelle intermédiaire empilée en EVA en deux parties, complétée par une semelle extérieure en caoutchouc Vibram Megagrip. Un composé de caoutchouc haute performance offrant une adhérence inégalée sur les terrains secs et humides.",200.00,20,MERCER,,{},"[{""size"": ""EU 40"", ""color"": ""Argent"", ""stock"": 1}, {""size"": ""EU 41"", ""color"": ""Argent"", ""stock"": 2}, {""size"": ""EU 42"", ""color"": ""Argent"", ""stock"": 3}, {""size"": ""EU 43"", ""color"": ""Argent"", ""stock"": 4}, {""size"": ""EU 44"", ""color"": ""Argent"", ""stock"": 3}, {""size"": ""EU 45"", ""color"": ""Argent"", ""stock"": 2}, {""size"": ""EU 46"", ""color"": ""Argent"", ""stock"": 1}]","{chaussures,sneakers,mercer,istanbul}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : cuir recyclé GRS, PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,f,2025-04-14 00:00:00+00,32,MERCER-IST-9,t,t,,ME251012/996,,,,,0
62,Mercer The Re-Run Vibram Nubuck,"Le meilleur des deux mondes : la Re-Run rencontre la P22. En collaboration avec Vibram, nous avons développé une semelle intermédiaire empilée en EVA en deux parties, complétée par une semelle extérieure en caoutchouc Vibram Megagrip. Un composé de caoutchouc haute performance offrant des propriétés d'adhérence inégalées sur les terrains secs et humides.",180.00,20,MERCER,,{},"[{""size"": ""EU 40"", ""color"": ""Crème"", ""stock"": 1}, {""size"": ""EU 41"", ""color"": ""Crème"", ""stock"": 2}, {""size"": ""EU 42"", ""color"": ""Crème"", ""stock"": 3}, {""size"": ""EU 43"", ""color"": ""Crème"", ""stock"": 4}, {""size"": ""EU 44"", ""color"": ""Crème"", ""stock"": 3}, {""size"": ""EU 45"", ""color"": ""Crème"", ""stock"": 2}, {""size"": ""EU 46"", ""color"": ""Crème"", ""stock"": 1}]","{chaussures,sneakers,mercer,helsinki}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : cuir recyclé GRS, PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,t,2025-04-14 00:00:00+00,32,MERCER-HEL-8,t,t,,ME251011/101,,,,,0
38,"Asics Gel Kayano 14 ""Black""","La GEL-KAYANO 14 fait son grand retour avec une déclinaison novatrice du rétro. Son look de la fin des années 2000 est directement inspiré de notre emblématique série GEL-KAYANO. Les matériaux et les composants modernes de la chaussure augmentent ses performances techniques. C'est le premier modèle à avoir été conçu par quelqu'un d'autre que Toshikazu Kayano. Cette nouvelle version perpétue les valeurs emblématiques de la marque, tout en offrant de meilleures performances. L'amorti de cette chaussure est composé de la même technologie GEL que celle de la semelle intermédiaire d'origine et sa tige conserve sa construction en cuir et mesh superposés de 2008 pour offrir un chaussant parfait. De plus, le procédé de teinture en solution utilisé pour la fabrication de la semelle intérieure réduit la consommation d'eau d'environ 33 % et les émissions de carbone d'environ 45 %",0.00,20,ASICS,  ,{},"[{""size"": ""EU 42"", ""color"": ""Noir"", ""stock"": 1}, {""size"": ""EU 42.5"", ""color"": ""Noir"", ""stock"": 1}, {""size"": ""EU 43.5"", ""color"": ""Noir"", ""stock"": 1}]","{asics,""gel-kayano 14"",premium,collectionneurs,cushion,stability,héritage,running,technique,streetwear,archive}","{""ASICS GEL-KAYANO 14 - Réédition du modèle emblématique de 2008"",""Double technologie d'amorti GEL™ à l'avant-pied et au talon"",""Système Space Trusstic™ pour la stabilité et la transition fluide"",""Tige complexe multi-matériaux avec construction asymétrique"",""Technology IGS® (Impact Guidance System) pour une foulée naturelle"",""Semelle intermédiaire SpEVA™ et Solyte™ pour rebond et légèreté"",""Semelle extérieure à plaques AHAR+ pour durabilité exceptionnelle"",""Modèle de stabilité running premium adapté au lifestyle"",""Poids: 337g (taille 42)""}",sneakers,f,,37,AS001,t,f,  , kay14_black ,  ,,  ,,0
58,Mercer The Re-Run White Silver,Le classique par lequel tout a commencé ; la Re-Run White Silver est désormais proposée dans une combinaison de couleurs saisonnières avec toutes les caractéristiques durables que vous attendez de nous.,185.00,20,MERCER,,{},"[{""size"": ""EU 40"", ""color"": ""Silver Blue"", ""stock"": 1}, {""size"": ""EU 41"", ""color"": ""Silver Blue"", ""stock"": 2}, {""size"": ""EU 42"", ""color"": ""Silver Blue"", ""stock"": 3}, {""size"": ""EU 43"", ""color"": ""Silver Blue"", ""stock"": 4}, {""size"": ""EU 44"", ""color"": ""Silver Blue"", ""stock"": 3}, {""size"": ""EU 45"", ""color"": ""Silver Blue"", ""stock"": 2}, {""size"": ""EU 46"", ""color"": ""Silver Blue"", ""stock"": 1}]","{chaussures,sneakers,mercer,dublin}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : cuir recyclé GRS, PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,f,2025-04-14 00:00:00+00,32,MERCER-DUB-4,t,t,,ME251004/155,,,,,0
