id,name,description,logo_url,created_at,updated_at,logo_dark,logo_light
13,JACOB COHEN,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/JACOBCOHEN/JACOB_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/JACOBCOHEN/JACOBCOHEN_b.png,/brands/JACOBCOHEN/JACOBCOHEN_w.png
28,K-WAY,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/K-WAY/KWAY_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/K-WAY/K-WAY_b.png,/brands/K-WAY/K-WAY_w.png
27,LANVIN,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/LANVIN/LANVIN_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/LANVIN/LANVIN_b.png,/brands/LANVIN/LANVIN_w.png
16,TOPOLOGIE,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/TOPOLOGIE/topo_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/TOPOLOGIE/TOPOLOGIE_b.png,/brands/TOPOLOGIE/TOPOLOGIE_w.png
11,AUTRY,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/AUTRY/AUTRY_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/AUTRY/AUTRY_b.png,/brands/AUTRY/AUTRY_w.png
22,MONCLER,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/MONCLER/MONCLER_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/MONCLER/MONCLER_b.png,/brands/MONCLER/MONCLER_w.png
19,DOUCAL'S,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/DOUCALS/DOUCALS_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/DOUCALS/doucals_b.png,/brands/DOUCALS/doucals_w.png
32,MERCER,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/MERCER/MERCER_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/MERCER/mercer_b.png,/brands/MERCER/mercer_w.png
26,NUMERO 21,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/NUMERO21/N21_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/NUMERO21/N21_b.png,/brands/NUMERO21/N21_w.png
15,PATAGONIA,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/PATAGONIA/PATAGONIA_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/PATAGONIA/patagonia_b.png,/brands/PATAGONIA/patagonia_w.png
33,PARAJUMPERS,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/PARAJUMPERS/PARAJUMPERS_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/PARAJUMPERS/parajumpers_b.png,/brands/PARAJUMPERS/parajumpers_w.png
35,RAINS,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/RAINS/RAINS_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/RAINS/rains_b.png,/brands/RAINS/rains_w.png
4,RRD,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/RRD/RRD_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/RRD/rrd_b.png,/brands/RRD/rrd_w.png
10,PALM ANGELS,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/PALM ANGELS/PALMANGELS_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/PALMANGELS/PALMANGELS_b.png,/brands/PALMANGELS/PALMANGELS_w.png
31,AFTER LABEL,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/AFTERLABEL/AFTER_b.png,2025-02-26 14:01:13.483+00,2025-02-26 14:01:13.483+00,/brands/AFTERLABEL/AFTERLABEL_b.png,/brands/AFTERLABEL/AFTERLABEL_w.png
14,MARNI,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/MARNI/MARNI_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/MARNI/MARNI_b.png,/brands/MARNI/MARNI_w.png
9,OFF-WHITE,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/OFF-WHITE/OFF-WHITE_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/OFF-WHITE/OFF-WHITE_b.png,/brands/OFF-WHITE/OFF-WHITE_w.png
29,PYRENEX,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/PYRENEX/PYRENEX_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/PYRENEX/PYRENEX_b.png,/brands/PYRENEX/PYRENEX_w.png
12,SALOMON,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/SALOMON/SALOMON_1_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/SALOMON/SALOMON_b.png,/brands/SALOMON/SALOMON_w.png
7,HERNO,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/HERNO/HERNO_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/HERNO/HERNO_b.png,/brands/HERNO/HERNO_w.png
5,APC,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/APC/APC_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/APC/APC_b.png,/brands/APC/APC_w.png
34,WHITE SAND,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/WHITE SAND/white_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/WHITESAND/WHITESAND_b.png,/brands/WHITESAND/WHITESAND_w.png
6,AXEL ARIGATO,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/AXEL ARIGATO/AXEL_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/AXELARIGATO/AXELARIGATO_b.png,/brands/AXELARIGATO/AXELARIGATO_w.png
2,STONE ISLAND,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/STONE ISLAND/STONE_ISLAND_1_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/STONEISLAND/STONEISLAND_b.png,/brands/STONEISLAND/STONEISLAND_w.png
